,0,1
0,8,828413.88
1,9,387577.39
2,12,248767.67
3,13,430331.85
4,16,654335.56
5,17,401104.88
6,18,380274.02
7,23,394189.62
8,24,582841.53
9,28,274327.99
10,40,601894.31
11,50,703691.74
12,52,500913.19
13,65,327294.99
14,73,687838.22
15,81,408711.55
16,88,365361.6
17,107,257710.03
18,118,878322.35
19,119,356107.25
20,120,786020.57
21,129,349340.46
22,134,603684.93
23,135,667606.36
24,144,358363.97
25,148,532076.76
26,153,757309.6
27,157,290396.35
28,168,295741.28
29,169,318364.93
30,180,716167.74
31,183,330869.96
32,186,446920.26
33,187,468707.32
34,199,212572.3
35,200,756426.2
36,204,801659.53
37,211,633496.0
38,216,392337.08
39,226,230055.94
40,231,545800.0
41,233,510043.44
42,234,392669.25
43,236,223336.63
44,238,238746.0
45,240,262739.18
46,241,840184.59
47,248,261669.23
48,249,651365.55
49,252,374351.44
50,258,681749.0
51,261,379315.01
52,262,539659.94
53,269,572506.16
54,271,682664.26
55,277,293770.41
56,286,368823.0
57,301,895698.1
58,311,542712.12
59,315,737731.49
60,321,577982.09
61,325,241525.44
62,330,332100.06
63,340,938806.39
64,348,370959.38
