,resid
1,0.6494689382012354
2,0.7574763869908175
3,-0.46106665936681657
4,1.2006876337536487
5,-0.3482682160095517
6,1.8548670521874244
7,-0.8842715364472574
8,0.41903729144010426
9,-0.9997028205700819
10,0.2010633035655952
11,0.6414705132756761
12,1.405158022624241
13,3.117836747351154
14,4.917672259673566
15,8.999718629233055
16,0.9180156026770793
17,-1.641186633367765
18,-2.5065928770784516
19,2.567000196514612
20,-1.3961791272595125
21,1.505904059946771
22,-6.699887954094476
23,0.5898117163321216
24,-2.193202196259781
25,3.3428422406493343
26,4.421518381741451
27,-0.003529902317368397
28,0.18523842665085677
29,1.8832625505128087
30,3.612589145718025
31,2.5975241339320156
32,0.003473475782654986
33,0.2656348951493238
34,0.1780697552281375
35,3.839719920847239
36,-5.791543220852348
37,1.697952577467009
38,-0.4364310529623393
39,-0.4392256153649142
